Report Date,Property Name,Unit Number,Size,Baths,Floor Plan Name,Square Feet,Unit Status,Total Market Rent,Lease Type Current Lease,Lease Term Current Lease,Lease End Date Current Lease,Notice On Date Current Lease,Notice For Date Current Lease,Lease Rent Current Lease,MTMFees Current Lease,Length Of Stay,Status,Renewal Status,Lease Type Future Lease,Lease Start Date Future Lease,Lease End Date Future Lease,Move In Date Future Lease,Lease Rent Future Lease,Make Ready Date Future Lease
14/09/2020,My Property,17205,0,1,E1,670,Normal,805,New,14,30/09/2020,,,750,0,13,OC,Renewed,Renewal,01/10/2020,30/09/2021,15/08/2016,775,
14/09/2020,My Property,17206,0,1,E1,670,Normal,805,Renewal,12,31/08/2021,,,775,0,13,OC,Undecided,,,,,0,
14/09/2020,My Property,17207,1,1,A1,828,Normal,895,New,14,30/09/2020,30/07/2020,30/09/2020,895,0,13,NA,NTV,,,,,0,
14/09/2020,My Property,17208,1,1,A1,828,Normal,895,New,13,30/09/2020,,,895,0,12,OC,Undecided,,,,,0,
14/09/2020,My Property,17301,1,1,A1,828,Normal,895,New,13,31/08/2020,12/07/2020,12/09/2020,895,0,13,NL,NTV,New,01/10/2020,30/09/2021,01/10/2020,895,
14/09/2020,My Property,17302,1,1,A1,828,Normal,895,New,12,27/07/2021,,,895,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,17303,0,1,E1,670,Normal,805,New,13,30/09/2020,,,750,0,12,OC,Undecided,,,,,0,
14/09/2020,My Property,17304,0,1,E1,670,Normal,805,New,13,31/07/2021,,,775,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,17305,0,1,E1,670,Normal,805,New,14,31/10/2020,31/08/2020,31/10/2020,750,0,12,NA,NTV,,,,,0,
14/09/2020,My Property,17306,0,1,E1,670,Normal,805,,,,,,0,0,,VA,,,,,,0,
14/09/2020,My Property,17307,1,1,A1,828,Normal,895,New,13,31/05/2021,,,895,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,17308,1,1,A1,828,Normal,895,New,12,27/05/2021,,,868.15,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,18101,1,1,A1,828,Normal,905,New,13,31/08/2020,,,905,0,13,OC,Undecided,,,,,0,
14/09/2020,My Property,18102,1,1,A1,828,Normal,905,Transfer,13,30/09/2020,02/08/2020,30/09/2020,895,0,12,NL,NTV,New,06/10/2020,31/10/2021,06/10/2020,920,
14/09/2020,My Property,18103,0,1,E1,670,Normal,815,New,14,30/09/2020,,,750,0,13,OC,Renewed,Renewal,01/10/2020,30/09/2021,31/08/2016,775,
14/09/2020,My Property,18104,0,1,E1,670,Normal,815,New,12,26/07/2021,,,775,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,18105,0,1,E1,670,Normal,815,New,12,05/07/2021,,,775,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,18106,0,1,E1,670,Normal,815,Renewal,13,31/08/2021,,,775,0,13,OC,Undecided,,,,,0,
14/09/2020,My Property,18107,1,1,A1,828,Normal,905,New,14,30/09/2020,02/08/2020,30/09/2020,895,0,13,NA,NTV,,,,,0,
14/09/2020,My Property,18108,1,1,A1,828,Normal,905,New,12,24/02/2021,,,920,0,7,OC,Undecided,,,,,0,
14/09/2020,My Property,18201,1,1,A1,828,Normal,895,New,12,10/05/2021,,,895,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,18202,1,1,A1,828,Normal,895,New,12,21/09/2020,26/05/2020,21/09/2020,895,0,12,NL,NTV,New,29/09/2020,30/09/2021,29/09/2020,895,
14/09/2020,My Property,18203,0,1,E1,670,Normal,805,New,12,30/08/2020,31/08/2020,30/10/2020,0,100,13,NA,NTV,,,,,0,
14/09/2020,My Property,18204,0,1,E1,670,Normal,805,New,13,28/02/2021,,,750,0,7,OC,Undecided,,,,,0,
14/09/2020,My Property,18205,0,1,E1,670,Normal,805,,,,,,0,0,,VA,,,,,,0,
14/09/2020,My Property,18206,0,1,E1,670,Normal,805,New,13,30/09/2020,02/08/2020,01/10/2020,750,0,12,NA,NTV,,,,,0,
14/09/2020,My Property,18207,1,1,A1,828,Normal,895,New,16,30/11/2020,28/08/2020,21/10/2020,895,0,13,NA,NTV,,,,,0,
14/09/2020,My Property,18208,1,1,A1,828,Normal,895,New,12,04/04/2021,,,895,0,5,OC,Undecided,,,,,0,
14/09/2020,My Property,18301,1,1,A1,828,Normal,895,,,,,,0,0,,VA,,,,,,0,
14/09/2020,My Property,18302,1,1,A1,828,Normal,895,New,12,26/01/2021,,,895,0,8,OC,Undecided,,,,,0,
14/09/2020,My Property,18303,0,1,E1,670,Normal,805,New,12,31/08/2020,31/08/2020,28/10/2020,775,100,12,NA,NTV,,,,,0,
14/09/2020,My Property,18304,0,1,E1,670,Normal,805,New,13,31/10/2020,01/09/2020,31/10/2020,750,0,11,NA,NTV,,,,,0,
14/09/2020,My Property,18305,0,1,E1,670,Normal,805,New,13,31/12/2020,,,750,0,9,OC,Undecided,,,,,0,
14/09/2020,My Property,18306,0,1,E1,670,Normal,805,New,13,30/11/2020,06/09/2020,30/11/2020,750,0,10,NA,NTV,,,,,0,
14/09/2020,My Property,18307,1,1,A1,828,Normal,895,New,12,13/07/2021,,,895,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,18308,1,1,A1,828,Normal,895,New,12,07/05/2021,,,895,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,19101,1,1,A1,828,Normal,905,New,13,31/10/2020,31/08/2020,31/10/2020,895,0,11,NA,NTV,,,,,0,
